PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap,MthRet,ShrOut,MthPrc_Abs,DateKey,Mkt-RF,SMB,HML,RMW,CMA,RF,ExcessRet,y_next,ret_lag1,ret_lag2,ret_lag3,history_len,log_size,predicted_return,rank
10044,77467X10,RMCF,7992,2022-12-30,5.7,35562.3,-0.061728,6239,5.7,202212,-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,-0.065028,-0.059939,-0.085226,0.099198,-0.099498,297,10.479041366951291,0.019269671252999762,4.0
10065,00621210,ADX,20023,2022-12-30,14.54,1713858.88,-0.06435,117872,14.54,202212,-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,-0.06765,0.066651,0.05057,0.071825,-0.095242,332,14.354258041027968,0.019269671252999762,5.0
10104,68389X10,ORCL,8045,2022-12-30,81.74,220391720.22,-0.015537,2696253,81.74,202212,-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,-0.018837,0.082719,0.060633,0.282624,-0.178299,332,19.21091706747748,0.019269671252999762,6.0
10026,46603210,JJSF,7976,2023-01-31,143.3,2755515.7,-0.042816,19229,143.3,202301,0.0659,0.0438999999999999,-0.0394,-0.0242,-0.0443,0.0034999999999999,-0.0463159999999999,-0.017985,-0.086336,0.108271,0.13781,333,14.829115169984714,0.0170141258799256,1313.0
10028,29402E10,ELA,7978,2023-01-31,6.6798,179853.62,0.269924,26925,6.6798,202301,0.0659,0.0438999999999999,-0.0394,-0.0242,-0.0443,0.0034999999999999,0.266424,0.089447,0.0141079999999999,-0.018138,0.035249,55,12.099898576805554,0.013970542368888674,2745.0
10032,72913210,PLXS,7980,2023-01-31,95.99,2659114.98,-0.067424,27702,95.99,202301,0.0659,0.0438999999999999,-0.0394,-0.0242,-0.0443,0.0034999999999999,-0.070924,-0.004442,-0.06944,0.117222,0.121501,333,14.79350391111049,0.0170141258799256,1314.0
10044,77467X10,RMCF,7992,2023-01-31,5.3783,33614.38,-0.056439,6250,5.3783,202301,0.0659,0.0438999999999999,-0.0394,-0.0242,-0.0443,0.0034999999999999,-0.059939,-0.071879,-0.065028,-0.085226,0.099198,298,10.422709230586085,0.012231327935057894,3969.0
10065,00621210,ADX,20023,2023-01-31,15.56,1834088.32,0.070151,117872,15.56,202301,0.0659,0.0438999999999999,-0.0394,-0.0242,-0.0443,0.0034999999999999,0.066651,-0.014385,-0.06765,0.05057,0.071825,333,14.42205808767284,0.013202941017782745,2869.0
10104,68389X10,ORCL,8045,2023-01-31,88.46,238510540.38,0.086219,2696253,88.46,202301,0.0659,0.0438999999999999,-0.0394,-0.0242,-0.0443,0.0034999999999999,0.082719,-0.015383,-0.018837,0.060633,0.282624,333,19.289924061781537,0.013202941017782745,2870.0
10026,46603210,JJSF,7976,2023-02-28,141.21,2715327.09,-0.014585,19229,141.21,202302,-0.0256999999999999,0.0058,-0.008,0.0097,-0.0151,0.0034,-0.017985,0.051185,-0.0463159999999999,-0.086336,0.108271,334,14.814422979231749,0.0017833461085898998,1.0
